SBD,Toán,Lý,Hóa,Sinh,S?,??a,GDCD,V?n,Ngo?i ng?,Mã NN,,Toán,Lý,Hóa,Sinh,S?,??a,GDCD,V?n,Ngo?i ng?
35000001,5.8,-1,-1,-1,3.5,5.75,6.75,5.75,2.8,N1,,>1,>1,>1,>1,-1,-1,-1,3,>1
35000002,7.4,4,5.25,3,-1,-1,-1,5.75,3.8,N1,,,,,,,,,,
35000003,6.6,-1,-1,-1,9.5,9,8.25,8.5,4.8,N1,,,,,,,,,,
35000004,8.2,7.5,8.5,4.75,-1,-1,-1,7.5,5.6,N1,,,,,,,,,,
35000005,6.8,5.75,5.75,2.75,-1,-1,-1,7.75,3.8,N1,,,,,,,,,,
35000006,7.6,6.75,7.25,4,-1,-1,-1,7,3.4,N1,,,,,,,,,,
35000007,7.4,5,7,3,-1,-1,-1,5,2,N1,,,,,,,,,,
35000008,8.4,3.5,8.25,8,-1,-1,-1,5.5,4.4,N1,,,,,,,,,,
35000009,5.8,-1,-1,-1,6.5,6.75,7,8,5.2,N1,,,,,,,,,,
35000010,5.6,-1,-1,-1,3.5,4.25,8.75,5,3,N1,,,,,,,,,,
35000011,7.2,-1,-1,-1,3,7.25,8.75,5.25,6.4,N1,,,,,,,,,,
35000012,9,8.75,8.5,3.75,-1,-1,-1,7.25,5.8,N1,,,,,,,,,,
35000013,7,-1,-1,-1,7,6,-1,7,-1,none,,,,,,,,,,
35000014,5.8,-1,-1,-1,3.25,5.25,-1,4,-1,none,,,,,,,,,,
35000015,7.8,4.25,7.25,6.75,-1,-1,-1,6.25,4.2,N1,,,,,,,,,,
35000016,6,-1,-1,-1,5,5.25,6.25,6,5.2,N1,,,,,,,,,,
35000017,6,-1,-1,-1,4.25,5.5,-1,3.75,-1,none,,,,,,,,,,
35000018,8,7.25,7.5,3.25,-1,-1,-1,5.25,5.6,N1,,,,,,,,,,
35000019,8,7.25,8,3,-1,-1,-1,6.08,4.6,N1,,,,,,,,,,
35000020,6.2,-1,-1,-1,5.75,6,6.25,6.5,3.4,N1,,,,,,,,,,
35000021,6.4,-1,-1,-1,4.5,5.5,-1,5,-1,none,,,,,,,,,,
35000022,8.4,5.5,7.5,6.5,-1,-1,-1,7.5,3.6,N1,,,,,,,,,,
35000023,8.8,9,7.25,5,-1,-1,-1,7.25,7.2,N1,,,,,,,,,,
35000024,8,7.5,7.75,4.75,-1,-1,-1,6.5,5,N1,,,,,,,,,,
35000025,5.8,2.75,4,4.25,-1,-1,-1,5,2.8,N1,,,,,,,,,,
35000026,6.8,-1,-1,-1,4.5,6.25,-1,6.5,-1,none,,,,,,,,,,
35000027,8.2,-1,-1,-1,8.75,8,8.25,9.25,7,N1,,,,,,,,,,
35000028,2.6,-1,-1,-1,2.75,5.75,-1,2.5,-1,none,,,,,,,,,,
35000029,8.2,8,8.25,4.75,-1,-1,-1,6.25,6,N1,,,,,,,,,,
35000030,6.8,-1,-1,-1,7.75,6.25,8.75,8,5.6,N1,,,,,,,,,,
35000031,7.8,5.75,4,3.5,-1,-1,-1,8,4,N1,,,,,,,,,,
35000032,5.2,-1,-1,-1,5.25,5.5,7,6.75,3,N1,,,,,,,,,,
35000033,5,-1,-1,-1,4.75,6.25,8,6.75,3.8,N1,,,,,,,,,,
35000034,8,7.25,7.75,3.75,-1,-1,-1,4.5,4.8,N1,,,,,,,,,,
